nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
30,14,Aastami,Gorakhkali Puja,True,True,False,0
31,15,Nawami,,False,True,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
1,15,Nawami,,False,False,False,6
2,16,Dashami,"Baitadi Bishwanath Mandir ma Ganga Dashahara Snan Mela, Gosainkunda Snan Samapti",True,False,False,0
3,17,Ekadashi,"Smartaharuko Nirjala Ekadashi Brat, Bakr Eid",True,False,False,1
4,18,Dwadashi,"Baishnabharuko Nirjala Ekadashi Brat, Tulashi ko Dal Rakhne",True,False,False,2
5,19,Dwadashi,,False,False,False,3
6,20,Trayodashi,World Refugee Day,True,False,False,4
7,21,Chaturdashi,Purnima Brat,True,False,False,5
8,22,Purnima,"Panauti Snan, Masta Purnima (Jya: Punhi:)",True,False,False,6
9,23,Pratipada,,False,False,False,0
10,24,Tritiya,,False,False,False,1
11,25,Chaturthi,"Mangal Chauthi, Bhumi Puja",True,False,False,2
12,26,Panchami,,False,False,False,3
13,27,Sasthi,,False,False,False,4
14,28,Saptami,Aastami Brat,True,False,False,5
15,29,Aastami,"Dahi Chewra Khani Din, Rastriya Dhan Diwas",True,False,False,6
16,30,Nawami,,False,False,False,0
17,01,Dashami,,False,False,False,1
18,02,Ekadashi,Yogini Ekadashi Brat,True,False,False,2
19,03,Dwadashi,,False,False,False,3
20,04,Trayodashi,Dilacha:Hre:,True,False,False,4
21,05,Aaunshi,Darsha Shradda,True,False,False,5
22,06,Pratipada,,False,False,False,6
23,07,Ditiya,Jagannath Rath Yatra,True,False,False,0
24,08,Tritiya,,False,False,False,1
25,09,Tritiya,,False,False,False,2
26,10,Chaturthi,,False,False,False,3
27,11,Panchami,World Population Day,True,False,False,4
28,12,Sasthi,,False,False,False,5
29,13,Saptami,Bhanu Jayanti,True,False,False,6
