nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
30,12,Panchami,Aadhyaguru Shankaracharya Jayanti,True,False,False,0
31,13,Sasthi,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
1,13,Panchami,"New Year 2081 Starts, Bishwadhwojpatan (Biska Jatra)",True,False,False,6
2,14,Sasthi,"Siruwa Pawani Parba (Holiday for people who celebrates in Jhapa, Morang",True,False,False,0
3,15,Saptami,Bhaktapur Bramhayani Yatra,True,False,False,1
4,16,Aastami,"Chaite Dashain, Seto Machhindranath Rath Yatra Aarambha",True,False,False,2
5,17,Nawami,Ram Nawami,True,False,False,3
6,18,Dashami,,False,True,True,4
7,19,Ekadashi,Kamada Ekadashi,True,True,False,5
8,20,Dwadashi,Chanda Diwas,True,False,False,6
9,21,Trayodashi,Mahabir Jayanti,True,False,False,0
10,22,Chaturdashi,,False,False,False,1
11,23,Purnima,"Loktantra Diwas, Lhuti Punhi",True,False,False,2
12,24,Pratipada,Lalitpur Rato Machhindranath Snan (Bungadhya nhawa),True,False,False,3
13,25,Pratipada,Rastriya Photo Patrakarita Diwas,True,False,False,4
14,26,Ditiya,,False,False,False,5
15,27,Tritiya,Swami Shashidhar Jayanti,True,False,False,6
16,28,Chaturthi,,False,False,False,0
17,29,Panchami,,False,False,False,1
18,30,Saptami,,False,False,False,2
19,01,Aastami,"International Workers Day, Budhaastami",True,False,False,3
20,02,Nawami,Rastriya Suchana tatha Sanchar Prabidhi Diwas,True,False,False,4
21,03,Dashami,,False,False,False,5
22,04,Ekadashi,Baruthini Ekadashi Brat,True,False,False,6
23,05,Dwadashi,,False,False,False,0
24,06,Trayodashi,"Matati Cha: Hre, Kirant Samaj Sudhar Diwas",True,False,False,1
25,07,Chaturdashi,,False,False,False,2
26,08,Aaunshi,"Matatirtha Aaunshi, Aamako Mukh Herne",True,False,False,3
27,09,Pratipada,Lalitpur Machhindranath Ratharohan,True,False,False,4
28,10,Ditiya,"Parashuram Jayanti, Aakshya Tritiya",True,False,False,5
29,11,Chaturthi,Lalitpur Rato Matsyendranath Rath Yatra Aarambha,True,False,False,6
