nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
30,15,Dwadashi,"Baman Dwadashi, Indradhwojatthan",True,False,False,0
31,16,Trayodashi,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
1,17,Trayodashi,,False,False,False,6
2,18,Chaturdashi,Bajura Badimalika Mela,True,False,False,0
3,19,Purnima,"Janai Purnima, Rishi Tarpani",True,False,False,1
4,20,Pratipada,"Gai Jatra, Saparu (Holiday for Ktm only and Newar Community all over country)",True,False,False,2
5,21,Ditiya,"Ropain Jatra, Yal Matya",True,False,False,3
6,22,Tritiya,,False,False,False,4
7,23,Chaturthi,,False,False,False,5
8,24,Panchami,"Biruda Panchami, Lalitpur Narasimha Yatra",True,False,False,6
9,25,Sasthi,Gaura Saptami,True,False,False,0
10,26,Saptami,"Shreekrishna Janmastami, Gaura Parba",True,False,False,1
11,27,Aastami,Shreekrishna Rathyatra,True,False,False,2
12,28,Dashami,,False,False,False,3
13,29,Ekadashi,Smartharuko Ajaa Ekadashi Brat,True,False,False,4
14,30,Dwadashi,"Biashnab haruko Ajaa Ekadashi Brat, Swayambhu ko Chayan Darshan",True,False,False,5
15,31,Trayodashi,Yan Pancha Daan,True,False,False,6
16,01,Chaturdashi,Charhe Puja,True,False,False,0
17,02,Aaunshi,"Kushe Aaunshi, Bubako Mukh Herne Din",True,False,False,1
18,03,Aaunshi,,False,False,False,2
19,04,Pratipada,Guunla Dharma Samapti,True,False,False,3
20,05,Ditiya,"Dar Khane Din, Manab Bech Bikhan Birudda ko Rastriya Diwas",True,False,False,4
21,06,Tritiya,"Haritalika Brat, Teej (Holiday for Women only)",True,False,False,5
22,07,Chaturthi,"Ganesh Chaturthi, Nijamati Sewa Diwas",True,False,False,6
23,08,Panchami,"Rishi Panchami, Saptarshi Puja",True,False,False,0
24,09,Sasthi,,False,False,False,1
25,10,Saptami,,False,False,False,2
26,11,Aastami,"Kaya Aastami, Gorakhkali Puja",True,False,False,3
27,12,Nawami,,False,False,False,4
28,13,Dashami,,False,False,False,5
29,14,Ekadashi,"Haripariwartini Ekadashi Brat, Rastriya Baal Diwas",True,False,False,6
