nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
31,13,Pratipada,"Lalitpur Rato Machhindranath Snan (Bungadhya: Nhwan:), Bhaktapur Bishwadhojotthan",True,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
1,14,Purnima,Terai Holi (Holiday in 21 districts of Terai ),True,False,False,5
2,15,Pratipada,"Spring Season Starts, Nala Machhindranath Snan (Nala nhawn)",True,False,False,6
3,16,Ditiya,,False,False,True,0
4,17,Tritiya,Nala Machhindranath Rath Yatra,True,False,False,1
5,18,Chaturthi,,False,False,False,2
6,19,Panchami,,False,False,False,3
7,20,Sasthi,,False,False,False,4
8,21,Saptami,,False,False,False,5
9,22,Aastami,,False,False,False,6
10,23,Nawami,,False,False,False,0
11,24,Dashami,World Leprosy Day,True,False,False,1
12,25,Ekadashi,Paap Mochani Ekadashi,True,False,False,2
13,26,Dwadashi,,False,False,False,3
14,27,Trayodashi,,False,False,False,4
15,28,Chaturdashi,Pahan Chahre,True,False,False,5
16,29,Aaunshi,Ghode Jatra (Holiday in Ktm Only),True,False,False,6
17,30,Pratipada,Chovar Adinath Snan (Chova Nhawn),True,False,False,0
18,31,Ditiya,"Matsenarayan Mela, Matsyajayanti",True,False,False,1
19,01,Tritiya,,False,False,False,2
20,02,Chaturthi,,False,False,False,3
21,03,Sasthi,,False,False,False,4
22,04,Saptami,,False,False,False,5
23,05,Aastami,"Chaite Dashain, Seto Machhindranath Rathyatra Aarambha",True,False,False,6
24,06,Nawami,"Ram Nawami, World Sports Day",True,False,False,0
25,07,Dashami,,False,False,True,1
26,08,Ekadashi,Kamada Ekadashi,True,False,False,2
27,09,Dwadashi,,False,False,False,3
28,10,Trayodashi,Mahavir Jayanti,True,False,False,4
29,11,Chaturdashi,,False,False,False,5
30,12,Purnima,"Lhutipunhi:, Baishakh Snan Suru",True,False,False,6
