nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
1,13,Pratipada,"Jana Yudda Diwas, Radio Diwas",True,False,False,4
2,14,Ditiya,Valentine Day,True,False,True,5
3,15,Tritiya,,False,False,False,6
4,16,Chaturthi,,False,False,False,0
5,17,Panchami,,False,False,False,1
6,18,Sasthi,,False,False,False,2
7,19,Saptami,"Rastriya Prajatantra Diwas, Nirwachan Diwas",True,False,False,3
8,20,Saptami,"Aastami Brat, Gorakhkali Puja",True,False,False,4
9,21,Aastami,,False,False,False,5
10,22,Nawami,,False,False,False,6
11,23,Dashami,,False,False,False,0
12,24,Ekadashi,Bijaya Ekadashi,True,False,False,1
13,25,Dwadashi,,False,False,False,2
14,26,Trayodashi,"Maha Shiva Ratri, Nepali Sena Diwas",True,False,False,3
15,27,Chaturdashi,,False,False,False,4
16,28,Aaunshi,Gyalpo Lhosar,True,False,False,5
17,01,Ditiya,,False,False,False,6
18,02,Tritiya,,False,False,False,0
19,03,Chaturthi,,False,False,False,1
20,04,Panchami,Majhi Samudaya ko Ladi Puja,True,False,False,2
21,05,Sasthi,,False,False,False,3
22,06,Saptami,,False,False,False,4
23,07,Aastami,"Chirotthan, Holikarambha",True,True,False,5
24,08,Nawami,International Womens Day,True,False,False,6
25,09,Dashami,,False,False,False,0
26,10,Ekadashi,Aamalaki Ekadashi,True,False,True,1
27,11,Dwadashi,,False,False,False,2
28,12,Trayodashi,,False,True,False,3
29,13,Chaturdashi,"Pahadi Jilla ma Holi (Holidays in 56 districts of Himalayan, Hilly and inner Madhes)",True,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
