nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
1,17,Purnima,"Kojagrat Purnima, Katim Punhi:",True,False,False,4
2,18,Pratipada,,False,False,False,5
3,19,Ditiya,,False,False,False,6
4,20,Tritiya,,False,False,False,0
5,21,Chaturthi,,False,False,False,1
6,22,Panchami,,False,False,False,2
7,23,Sasthi,,False,False,False,3
8,24,Saptami,"Aastami Brat, Gorakhkali Puja",True,False,False,4
9,25,Aastami,Radha Astami,True,False,False,5
10,26,Nawami,,False,False,False,6
11,27,Dashami,,False,False,False,0
12,28,Ekadashi,Rama Ekadashi,True,False,False,1
13,29,Dwadashi,"Dhantrayodashi, Dhanteras",True,False,False,2
14,30,Trayodashi,"Kaag Tihar, Yama Deep Daan",True,False,False,3
15,31,Chaturdashi,"Kukur Tihar, Narak Chaturdashi",True,False,False,4
16,01,Aaunshi,"Darsha Shradda, Halo Barne",True,False,False,5
17,02,Pratipada,"Gai Puja, Gobardhan Puja",True,False,False,6
18,03,Ditiya,"Bhai Tika, Kija Puja",True,False,False,0
19,04,Tritiya,Tritiya,True,False,False,1
20,05,Chaturthi,Mangal Chauthi Brat,True,False,False,2
21,06,Panchami,,False,False,False,3
22,07,Sasthi,"Chhath Parba, Dala Puja",True,False,False,4
23,08,Saptami,,False,False,False,5
24,09,Aastami,"Aastami Brat, Gorakhkali Puja",True,False,False,6
25,10,Nawami,"Falgunand Jayanti (Holidays for Kiranti Only), Kusmanda Nawami",True,False,False,0
26,11,Dashami,Balambu Mahalaxmi Yatra,True,False,False,1
27,12,Ekadashi,"Haribodhini Ekadashi Brat, Tulashi Bibah",True,False,False,2
28,13,Dwadashi,Changunarayan Akhandadip Darshan,True,False,False,3
29,14,Trayodashi,"Baikuntha Chaturdashi, World  Diabeties Day",True,False,False,4
30,15,Purnima,"Gurunanak Jayanti (Holidays for Sikhs), Purnima Brat",True,False,False,5
,,,,False,False,False,6
