nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
1,14,Pratipada,"Maghesankranti, Maghi Parba",True,False,False,2
2,15,Ditiya,Rastriya Bhukampa Surakshya Diwas,True,False,True,3
3,16,Tritiya,,False,False,False,4
4,17,Chaturthi,,False,True,False,5
5,18,Panchami,,False,False,False,6
6,19,Panchami,,False,False,False,0
7,20,Sasthi,,False,False,False,1
8,21,Saptami,Aastami Brat,True,False,False,2
9,22,Aastami,Gorakhkali Puja,True,False,False,3
10,23,Nawami,,False,False,False,4
11,24,Dashami,,False,False,False,5
12,25,Ekadashi,Shattila Ekadashi,True,False,False,6
13,26,Dwadashi,,False,False,False,0
14,27,Trayodashi,,False,False,False,1
15,28,Chaturdashi,,False,False,False,2
16,29,Aaunshi,"Shahid Diwas, Madhav Narayan Mela",True,False,False,3
17,30,Pratipada,"Sonam Lhosar (Tamang Lhochar), Shree Ballav Jayanti",True,False,False,4
18,31,Ditiya,,False,False,False,5
19,01,Tritiya,,False,False,False,6
20,02,Chaturthi,,False,False,False,0
21,03,Panchami,"Basanta Panchami, Basanta Srawan",True,False,False,1
22,04,Sasthi,,False,False,False,2
23,05,Aastami,,False,False,False,3
24,06,Nawami,,False,False,False,4
25,07,Dashami,,False,True,True,5
26,08,Ekadashi,Bhima (Jaya) Ekadashi,True,False,False,6
27,09,Dwadashi,,False,False,False,0
28,10,Trayodashi,,False,False,False,1
29,11,Chaturdashi,Pashupatinath ko Chayan Darshan,True,False,False,2
30,12,Purnima,"Shree Swasthani Brat Samapti, Magh Snan Samapti",True,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
