nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
1,16,Pratipada,,False,False,False,1
2,17,Ditiya,,False,False,False,2
3,18,Tritiya,,False,False,False,3
4,19,Chaturthi,,False,False,False,4
5,20,Panchami,,False,False,False,5
6,21,Sasthi,,False,False,False,6
7,22,Saptami,,False,False,False,0
8,23,Aastami,"Aastami Brat, Gorakhkali Puja",True,False,False,1
9,24,Nawami,,False,False,False,2
10,25,Dashami,Christmas Day,True,False,False,3
11,26,Ekadashi,Safala Ekdashi,True,False,False,4
12,27,Dwadashi,,False,False,False,5
13,28,Trayodashi,,False,False,False,6
14,29,Chaturdashi,,False,False,False,0
15,30,Aaunshi,Tamu Lhochhar,True,False,False,1
16,31,Pratipada,Tol Lhochar,True,False,False,2
17,01,Ditiya,"2025 AD Starts, National Topi Day",True,False,False,3
18,02,Tritiya,,False,False,False,4
19,03,Chaturthi,,False,False,False,5
20,04,Panchami,,False,False,False,6
21,05,Sasthi,Guru Govinda Sinha Jayanti,True,False,False,0
22,06,Saptami,,False,False,False,1
23,07,Aastami,"Seto Machhindranath Snan, Janwahadhya: nhawn:",True,False,False,2
24,08,Nawami,Nepal Jyotish Parishad Sthapana Diwas,True,False,False,3
25,09,Dashami,,False,False,False,4
26,10,Ekadashi,Putrada Ekadashi Brat,True,False,False,5
27,11,Dwadashi,"Prithvi Jayanti, Rastriya Ekata Diwas",True,False,False,6
28,12,Chaturdashi,,False,False,False,0
29,13,Purnima,"Shree Swasthani Brat Starts, Purnima Brat",True,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
