nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
1,17,Ekadashi,Bishwakarma Puja,True,False,False,3
2,18,Dwadashi,,False,False,False,4
3,19,Trayodashi,Sambidhan Diwas (Rastriya Diwas),True,False,False,5
4,20,Chaturdashi,,False,False,False,6
5,21,Aaunshi,,False,False,False,0
6,22,Pratipada,Ghatasthapana,True,False,False,1
7,23,Ditiya,,False,False,False,2
8,24,Tritiya,,False,False,False,3
9,25,Tritiya,,False,False,False,4
10,26,Chaturthi,,False,False,False,5
11,27,Panchami,,False,False,False,6
12,28,Sasthi,,False,False,False,0
13,29,Saptami,"Phulpati, Nawapatrika Prabesh",True,False,False,1
14,30,Aastami,Maha Astami,True,False,False,2
15,01,Nawami,Maha Nawami,True,False,False,3
16,02,Dashami,"Bijaya Dashami, Dashain Ko Tika 2082",True,False,False,4
17,03,Ekadashi,Papankusha Ekadashi,True,False,False,5
18,04,Dwadashi,,False,False,False,6
19,05,Trayodashi,,False,False,False,0
20,06,Chaturdashi,Kojagrat Purnima,True,False,False,1
21,07,Purnima,,False,False,False,2
22,08,Pratipada,,False,False,False,3
23,09,Tritiya,Hulak Diwas,True,False,False,4
24,10,Chaturthi,,False,False,False,5
25,11,Panchami,,False,False,False,6
26,12,Sasthi,,False,False,False,0
27,13,Saptami,,False,False,False,1
28,14,Aastami,,False,False,False,2
29,15,Nawami,,False,False,False,3
30,16,Dashami,Khadhya Diwas,True,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
