nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
,,,,False,False,False,0
,,,,False,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
1,15,Tritiya,,False,False,False,4
2,16,Chaturthi,,False,False,False,5
3,17,Chaturthi,,False,False,False,6
4,18,Panchami,,False,False,False,0
5,19,Sasthi,,False,False,False,1
6,20,Saptami,,False,False,False,2
7,21,Nawami,,False,False,False,3
8,22,Dashami,,False,False,False,4
9,23,Ekadashi,Apara Ekadashi,True,False,False,5
10,24,Dwadashi,,False,False,False,6
11,25,Trayodashi,,False,False,False,0
12,26,Chaturdashi,,False,False,False,1
13,27,Aaunshi,,False,False,False,2
14,28,Pratipada,,False,False,False,3
15,29,Tritiya,Ganatantra Diwas,True,False,False,4
16,30,Chaturthi,,False,False,False,5
17,31,Panchami,,False,False,False,6
18,01,Sasthi,,False,False,False,0
19,02,Saptami,,False,False,False,1
20,03,Aastami,,False,False,False,2
21,04,Nawami,Jatiya Bhedbhav tatha Chuwachut Unmulan Rastriya Diwas,True,False,False,3
22,05,Dashami,,False,False,False,4
23,06,Ekadashi,Nirjala Ekadashi,True,False,False,5
24,07,Dwadashi,Eid-Ul-Ajhaa (Bakr Eid),True,False,False,6
25,08,Dwadashi,,False,False,False,0
26,09,Trayodashi,,False,False,False,1
27,10,Chaturdashi,,False,False,False,2
28,11,Purnima,,False,False,False,3
29,12,Pratipada,,False,False,False,4
30,13,Ditiya,,False,False,False,5
31,14,Tritiya,World Blood Donor Day,True,False,False,6
