nepali_date,english_date,tithi,festival,holiday,marriage_date,bratabandha,day_of_week
1,16,Dwadashi,,False,False,False,0
2,17,Trayodashi,,False,False,False,1
3,18,Trayodashi,,False,False,False,2
4,19,Chaturdashi,,False,False,False,3
5,20,Aaunshi,World Childrens Day,True,False,False,4
6,21,Pratipada,Television Day,True,False,False,5
7,22,Ditiya,,False,False,False,6
8,23,Tritiya,,False,False,False,0
9,24,Chaturthi,,False,False,False,1
10,25,Panchami,"Bibah Panchami, Sita Bibah on Janakpur Panchami Mela",True,False,False,2
11,26,Sasthi,,False,False,False,3
12,27,Saptami,,False,False,False,4
13,28,Aastami,,False,False,False,5
14,29,Nawami,,False,False,False,6
15,30,Dashami,,False,False,False,0
16,01,Ekadashi,Mokshyada Ekadashi,True,False,False,1
17,02,Dwadashi,,False,False,False,2
18,03,Trayodashi,World Disability Day (Holiday for Disable People),True,False,False,3
19,04,Chaturdashi,"Yomari Punhi:, Udhyauli Parba",True,False,False,4
20,05,Pratipada,,False,False,False,5
21,06,Ditiya,,False,False,False,6
22,07,Tritiya,,False,False,False,0
23,08,Chaturthi,,False,False,False,1
24,09,Panchami,,False,False,False,2
25,10,Sasthi,Human Rights Day,True,False,False,3
26,11,Saptami,,False,False,False,4
27,12,Aastami,,False,False,False,5
28,13,Nawami,,False,False,False,6
29,14,Dashami,,False,False,False,0
30,15,Ekadashi,Safala Ekadashi,True,False,False,1
,,,,False,False,False,2
,,,,False,False,False,3
,,,,False,False,False,4
,,,,False,False,False,5
,,,,False,False,False,6
